id;omie_cod_ctr;omie_num_ctr;cliente_id_omie;cliente_nome;valor_mensal;municipio;tipo_entidade
194;8737983403;2026/00195;8508042998;CAMARA MUNICIPAL DE VEREADORES DE SANTA BARBARA;4500;Santa Bárbara;camara
195;8737983432;2026/00196;8508042998;CAMARA MUNICIPAL DE VEREADORES DE SANTA BARBARA;4800;Santa Bárbara;camara
196;8737983458;2026/00197;8507987201;CAMARA MUNICIPAL DE SATIRO DIAS;18000;Sátiro Dias;camara
197;8737983487;2026/00198;8507987201;CAMARA MUNICIPAL DE SATIRO DIAS;9600;Sátiro Dias;camara
198;8737983516;2026/00199;8507987201;CAMARA MUNICIPAL DE SATIRO DIAS;8400;Sátiro Dias;camara
199;8737983545;2026/00200;8691332248;CAMARA MUNICIPAL DE VEREADORES DE VALENÇA;15000;Valença;camara
200;8739177570;2026/00201;8508247508;POLICLINICA CISRP PAULO AFONSO;10000;Paulo Afonso;municipio
201;8741475265;2026/00202;8508159639;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;2000;Muquém do São Francisco;municipio
202;8741713299;2026/00203;8508222975;FMAS PM CAMPO ALEGRE DE LOURDES;6000;Campo Alegre de Lourdes;municipio
203;8741750863;2026/00204;8508166834;ITAJU DO COLONIA PREFEITURA GABINETE DO PREFEITO;9000;Itaju do Colônia;municipio
204;8741833650;2026/00205;8741834211;FUNDO MUNICIPAL DE EDUCACAO - FMED;910.2;Jequiriça;municipio
205;8741834391;2026/00207;8741833688;FUNDO MUNICIPAL DE SAUDE DE JIQUIRICA;910.2;Jequiriça;municipio
206;8741835471;2026/00208;8490112990;MUNICIPIO DE SANTA BARBARA;15000;Santa Bárbara;municipio
207;8741914354;2026/00209;8508146902;SANTO ESTEVAO PREFEITURA GABINETE DO PREFEITO;16500;Santo Estevão;municipio
